"JTerAOylMVI","IPD_Number of clients admitted (workload)","201801","Ahero Medical Center","18291","HllvX50cXC0","YHx6ZCdJgEN","90"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","WfHqnUAPLXY","YHx6ZCdJgEN","9"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","svOcUqAMxim","YHx6ZCdJgEN","3"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","AGPBuVYe3qA","YHx6ZCdJgEN","1"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","SPM3RiNMsMh","YHx6ZCdJgEN","3"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","cz10IugYD2H","YHx6ZCdJgEN","4"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","DlGJGjqn3vQ","YHx6ZCdJgEN","5"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","p5U4c0oDykp","YHx6ZCdJgEN","1"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","lSfyYI23Mi2","YHx6ZCdJgEN","11"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","f6fvG5QVbbN","YHx6ZCdJgEN","3"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","KyGJ12KGrR0","YHx6ZCdJgEN","8"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","xgNjuPfeV7w","YHx6ZCdJgEN","4"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","uk3UJajsR19","YHx6ZCdJgEN","3"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","jhGUfzgl3Ij","YHx6ZCdJgEN","2"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","cTba1qCbXQw","YHx6ZCdJgEN","5"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","hVjYPd3tjeN","YHx6ZCdJgEN","5"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","gu78UI1N1Zg","YHx6ZCdJgEN","18"
"XmRLoxIZhtE","IPD_Number of clients (Screened)","201801","Ahero Medical Center","18291","jfy44DhDKKg","YHx6ZCdJgEN","5"
"JNo75iFX77M","IPD_Number of clients (Known Positives)","201801","Ahero Medical Center","18291","DlGJGjqn3vQ","YHx6ZCdJgEN","1"
"JNo75iFX77M","IPD_Number of clients (Known Positives)","201801","Ahero Medical Center","18291","lSfyYI23Mi2","YHx6ZCdJgEN","2"
"JNo75iFX77M","IPD_Number of clients (Known Positives)","201801","Ahero Medical Center","18291","KyGJ12KGrR0","YHx6ZCdJgEN","1"
"JNo75iFX77M","IPD_Number of clients (Known Positives)","201801","Ahero Medical Center","18291","uk3UJajsR19","YHx6ZCdJgEN","1"
