dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby
lgfAGuYAdPZ,201610,CzGqegvtcf5,p8KHSw07YH1,K0cWjvomIMf,88,felix
lgfAGuYAdPZ,201610,CzGqegvtcf5,lbCDtnQRrh6,K0cWjvomIMf,1363,felix
zpJjBI4BewR,201610,CzGqegvtcf5,lbCDtnQRrh6,K0cWjvomIMf,16,felix
uAlw1jSa1Az,201610,CzGqegvtcf5,cJKLG2tjEmO,K0cWjvomIMf,2,felix
uAlw1jSa1Az,201610,CzGqegvtcf5,g7Lh5zbS2En,K0cWjvomIMf,34,felix
tArf2JT2OGN,201610,CzGqegvtcf5,cJKLG2tjEmO,K0cWjvomIMf,11,felix
tArf2JT2OGN,201610,CzGqegvtcf5,g7Lh5zbS2En,K0cWjvomIMf,153,felix
lgfAGuYAdPZ,201610,obSn4iRC7wn,p8KHSw07YH1,IpcHlwXHAL4,68,felix
lgfAGuYAdPZ,201610,obSn4iRC7wn,lbCDtnQRrh6,IpcHlwXHAL4,281,felix
zpJjBI4BewR,201610,obSn4iRC7wn,p8KHSw07YH1,IpcHlwXHAL4,2,felix
zpJjBI4BewR,201610,obSn4iRC7wn,lbCDtnQRrh6,IpcHlwXHAL4,24,felix
uAlw1jSa1Az,201610,obSn4iRC7wn,cJKLG2tjEmO,IpcHlwXHAL4,1,felix
uAlw1jSa1Az,201610,obSn4iRC7wn,g7Lh5zbS2En,IpcHlwXHAL4,51,felix
tArf2JT2OGN,201610,obSn4iRC7wn,cJKLG2tjEmO,IpcHlwXHAL4,11,felix
tArf2JT2OGN,201610,obSn4iRC7wn,g7Lh5zbS2En,IpcHlwXHAL4,126,felix
lgfAGuYAdPZ,201610,vG1iOKniT2c,p8KHSw07YH1,qnsg6xXzdLG,92,felix
lgfAGuYAdPZ,201610,vG1iOKniT2c,lbCDtnQRrh6,qnsg6xXzdLG,451,felix
zpJjBI4BewR,201610,vG1iOKniT2c,p8KHSw07YH1,qnsg6xXzdLG,2,felix
zpJjBI4BewR,201610,vG1iOKniT2c,lbCDtnQRrh6,qnsg6xXzdLG,18,felix
uAlw1jSa1Az,201610,vG1iOKniT2c,cJKLG2tjEmO,qnsg6xXzdLG,2,felix
uAlw1jSa1Az,201610,vG1iOKniT2c,g7Lh5zbS2En,qnsg6xXzdLG,35,felix
tArf2JT2OGN,201610,vG1iOKniT2c,cJKLG2tjEmO,qnsg6xXzdLG,10,felix
tArf2JT2OGN,201610,vG1iOKniT2c,g7Lh5zbS2En,qnsg6xXzdLG,100,felix
lgfAGuYAdPZ,201610,fCLmgx815vO,p8KHSw07YH1,H3XczdtGIO5,15,felix
lgfAGuYAdPZ,201610,fCLmgx815vO,lbCDtnQRrh6,H3XczdtGIO5,84,felix
zpJjBI4BewR,201610,fCLmgx815vO,lbCDtnQRrh6,H3XczdtGIO5,1,felix
uAlw1jSa1Az,201610,fCLmgx815vO,g7Lh5zbS2En,H3XczdtGIO5,4,felix
lgfAGuYAdPZ,201610,PaKMtCzMDnk,p8KHSw07YH1,IpcHlwXHAL4,3,felix
lgfAGuYAdPZ,201610,PaKMtCzMDnk,lbCDtnQRrh6,IpcHlwXHAL4,199,felix
zpJjBI4BewR,201610,PaKMtCzMDnk,lbCDtnQRrh6,IpcHlwXHAL4,5,felix
lgfAGuYAdPZ,201610,OtnHULC4QwB,p8KHSw07YH1,TPAdivfPDQ9,108,felix
lgfAGuYAdPZ,201610,OtnHULC4QwB,lbCDtnQRrh6,TPAdivfPDQ9,61,felix
zpJjBI4BewR,201610,OtnHULC4QwB,p8KHSw07YH1,TPAdivfPDQ9,10,felix
zpJjBI4BewR,201610,OtnHULC4QwB,lbCDtnQRrh6,TPAdivfPDQ9,7,felix
uAlw1jSa1Az,201610,OtnHULC4QwB,cJKLG2tjEmO,TPAdivfPDQ9,2,felix
uAlw1jSa1Az,201610,OtnHULC4QwB,g7Lh5zbS2En,TPAdivfPDQ9,28,felix
tArf2JT2OGN,201610,OtnHULC4QwB,cJKLG2tjEmO,TPAdivfPDQ9,42,felix
tArf2JT2OGN,201610,OtnHULC4QwB,g7Lh5zbS2En,TPAdivfPDQ9,281,felix
lgfAGuYAdPZ,201610,w5udNAfZvrb,p8KHSw07YH1,TPAdivfPDQ9,57,felix
lgfAGuYAdPZ,201610,w5udNAfZvrb,lbCDtnQRrh6,TPAdivfPDQ9,186,felix
zpJjBI4BewR,201610,w5udNAfZvrb,p8KHSw07YH1,TPAdivfPDQ9,9,felix
zpJjBI4BewR,201610,w5udNAfZvrb,lbCDtnQRrh6,TPAdivfPDQ9,14,felix
uAlw1jSa1Az,201610,w5udNAfZvrb,cJKLG2tjEmO,TPAdivfPDQ9,2,felix
uAlw1jSa1Az,201610,w5udNAfZvrb,g7Lh5zbS2En,TPAdivfPDQ9,46,felix
tArf2JT2OGN,201610,w5udNAfZvrb,cJKLG2tjEmO,TPAdivfPDQ9,29,felix
tArf2JT2OGN,201610,w5udNAfZvrb,g7Lh5zbS2En,TPAdivfPDQ9,196,felix
lgfAGuYAdPZ,201610,BsbMOs77eO2,p8KHSw07YH1,TPAdivfPDQ9,316,felix
lgfAGuYAdPZ,201610,BsbMOs77eO2,lbCDtnQRrh6,TPAdivfPDQ9,164,felix
zpJjBI4BewR,201610,BsbMOs77eO2,p8KHSw07YH1,TPAdivfPDQ9,18,felix
zpJjBI4BewR,201610,BsbMOs77eO2,lbCDtnQRrh6,TPAdivfPDQ9,12,felix
uAlw1jSa1Az,201610,BsbMOs77eO2,cJKLG2tjEmO,TPAdivfPDQ9,4,felix
uAlw1jSa1Az,201610,BsbMOs77eO2,g7Lh5zbS2En,TPAdivfPDQ9,73,felix
tArf2JT2OGN,201610,BsbMOs77eO2,cJKLG2tjEmO,TPAdivfPDQ9,96,felix
tArf2JT2OGN,201610,BsbMOs77eO2,g7Lh5zbS2En,TPAdivfPDQ9,1018,felix
lgfAGuYAdPZ,201610,Ch9QLIX4Lv4,lbCDtnQRrh6,IpcHlwXHAL4,242,felix
zpJjBI4BewR,201610,Ch9QLIX4Lv4,lbCDtnQRrh6,IpcHlwXHAL4,6,felix
lgfAGuYAdPZ,201610,CckiDj0RzXx,p8KHSw07YH1,K0cWjvomIMf,3,felix
lgfAGuYAdPZ,201610,CckiDj0RzXx,lbCDtnQRrh6,K0cWjvomIMf,391,felix
zpJjBI4BewR,201610,CckiDj0RzXx,lbCDtnQRrh6,K0cWjvomIMf,13,felix
lgfAGuYAdPZ,201610,CckiDj0RzXx,p8KHSw07YH1,IpcHlwXHAL4,3,felix
lgfAGuYAdPZ,201610,CckiDj0RzXx,lbCDtnQRrh6,IpcHlwXHAL4,391,felix
zpJjBI4BewR,201610,CckiDj0RzXx,lbCDtnQRrh6,IpcHlwXHAL4,13,felix
lgfAGuYAdPZ,201610,LtGa9hWTpLy,p8KHSw07YH1,eUUdRwHy4bs,76,felix
lgfAGuYAdPZ,201610,LtGa9hWTpLy,lbCDtnQRrh6,eUUdRwHy4bs,1227,felix
zpJjBI4BewR,201610,LtGa9hWTpLy,p8KHSw07YH1,eUUdRwHy4bs,1,felix
zpJjBI4BewR,201610,LtGa9hWTpLy,lbCDtnQRrh6,eUUdRwHy4bs,43,felix
uAlw1jSa1Az,201610,LtGa9hWTpLy,cJKLG2tjEmO,eUUdRwHy4bs,7,felix
uAlw1jSa1Az,201610,LtGa9hWTpLy,g7Lh5zbS2En,eUUdRwHy4bs,112,felix
tArf2JT2OGN,201610,LtGa9hWTpLy,cJKLG2tjEmO,eUUdRwHy4bs,34,felix
tArf2JT2OGN,201610,LtGa9hWTpLy,g7Lh5zbS2En,eUUdRwHy4bs,820,felix
lgfAGuYAdPZ,201610,izA6A7pqMPN,p8KHSw07YH1,eUUdRwHy4bs,20,felix
lgfAGuYAdPZ,201610,izA6A7pqMPN,lbCDtnQRrh6,eUUdRwHy4bs,434,felix
zpJjBI4BewR,201610,izA6A7pqMPN,lbCDtnQRrh6,eUUdRwHy4bs,17,felix
uAlw1jSa1Az,201610,izA6A7pqMPN,cJKLG2tjEmO,eUUdRwHy4bs,1,felix
uAlw1jSa1Az,201610,izA6A7pqMPN,g7Lh5zbS2En,eUUdRwHy4bs,25,felix
tArf2JT2OGN,201610,izA6A7pqMPN,cJKLG2tjEmO,eUUdRwHy4bs,9,felix
tArf2JT2OGN,201610,izA6A7pqMPN,g7Lh5zbS2En,eUUdRwHy4bs,164,felix
lgfAGuYAdPZ,201610,oic5beVUm72,p8KHSw07YH1,eUUdRwHy4bs,42,felix
lgfAGuYAdPZ,201610,oic5beVUm72,lbCDtnQRrh6,eUUdRwHy4bs,100,felix
zpJjBI4BewR,201610,oic5beVUm72,p8KHSw07YH1,eUUdRwHy4bs,1,felix
zpJjBI4BewR,201610,oic5beVUm72,lbCDtnQRrh6,eUUdRwHy4bs,7,felix
uAlw1jSa1Az,201610,oic5beVUm72,cJKLG2tjEmO,eUUdRwHy4bs,1,felix
uAlw1jSa1Az,201610,oic5beVUm72,g7Lh5zbS2En,eUUdRwHy4bs,9,felix
tArf2JT2OGN,201610,oic5beVUm72,cJKLG2tjEmO,eUUdRwHy4bs,13,felix
tArf2JT2OGN,201610,oic5beVUm72,g7Lh5zbS2En,eUUdRwHy4bs,162,felix
lgfAGuYAdPZ,201610,FXzBJIjcAZ5,p8KHSw07YH1,K0cWjvomIMf,112,felix
lgfAGuYAdPZ,201610,FXzBJIjcAZ5,lbCDtnQRrh6,K0cWjvomIMf,1239,felix
zpJjBI4BewR,201610,FXzBJIjcAZ5,lbCDtnQRrh6,K0cWjvomIMf,41,felix
uAlw1jSa1Az,201610,FXzBJIjcAZ5,cJKLG2tjEmO,K0cWjvomIMf,3,felix
uAlw1jSa1Az,201610,FXzBJIjcAZ5,g7Lh5zbS2En,K0cWjvomIMf,46,felix
tArf2JT2OGN,201610,FXzBJIjcAZ5,cJKLG2tjEmO,K0cWjvomIMf,11,felix
tArf2JT2OGN,201610,FXzBJIjcAZ5,g7Lh5zbS2En,K0cWjvomIMf,204,felix
lgfAGuYAdPZ,201610,zQh2n2JcWtl,p8KHSw07YH1,IpcHlwXHAL4,29,felix
lgfAGuYAdPZ,201610,zQh2n2JcWtl,lbCDtnQRrh6,IpcHlwXHAL4,821,felix
zpJjBI4BewR,201610,zQh2n2JcWtl,lbCDtnQRrh6,IpcHlwXHAL4,28,felix
uAlw1jSa1Az,201610,zQh2n2JcWtl,g7Lh5zbS2En,IpcHlwXHAL4,32,felix
tArf2JT2OGN,201610,zQh2n2JcWtl,g7Lh5zbS2En,IpcHlwXHAL4,36,felix
lgfAGuYAdPZ,201610,DBROL4dIIzA,p8KHSw07YH1,K0cWjvomIMf,8,felix
lgfAGuYAdPZ,201610,DBROL4dIIzA,lbCDtnQRrh6,K0cWjvomIMf,36,felix
lgfAGuYAdPZ,201610,rGgw3l0bHEI,p8KHSw07YH1,IpcHlwXHAL4,13,felix
lgfAGuYAdPZ,201610,rGgw3l0bHEI,lbCDtnQRrh6,IpcHlwXHAL4,661,felix
zpJjBI4BewR,201610,rGgw3l0bHEI,p8KHSw07YH1,IpcHlwXHAL4,1,felix
zpJjBI4BewR,201610,rGgw3l0bHEI,lbCDtnQRrh6,IpcHlwXHAL4,27,felix
uAlw1jSa1Az,201610,rGgw3l0bHEI,cJKLG2tjEmO,IpcHlwXHAL4,4,felix
uAlw1jSa1Az,201610,rGgw3l0bHEI,g7Lh5zbS2En,IpcHlwXHAL4,40,felix
tArf2JT2OGN,201610,rGgw3l0bHEI,cJKLG2tjEmO,IpcHlwXHAL4,23,felix
tArf2JT2OGN,201610,rGgw3l0bHEI,g7Lh5zbS2En,IpcHlwXHAL4,214,felix
lgfAGuYAdPZ,201610,OkCML3CEtNi,p8KHSw07YH1,IpcHlwXHAL4,24,felix
lgfAGuYAdPZ,201610,OkCML3CEtNi,lbCDtnQRrh6,IpcHlwXHAL4,553,felix
zpJjBI4BewR,201610,OkCML3CEtNi,lbCDtnQRrh6,IpcHlwXHAL4,15,felix
uAlw1jSa1Az,201610,OkCML3CEtNi,cJKLG2tjEmO,IpcHlwXHAL4,1,felix
uAlw1jSa1Az,201610,OkCML3CEtNi,g7Lh5zbS2En,IpcHlwXHAL4,21,felix
tArf2JT2OGN,201610,OkCML3CEtNi,cJKLG2tjEmO,IpcHlwXHAL4,1,felix
tArf2JT2OGN,201610,OkCML3CEtNi,g7Lh5zbS2En,IpcHlwXHAL4,35,felix
lgfAGuYAdPZ,201610,r13EdOxFc92,p8KHSw07YH1,K0cWjvomIMf,216,felix
lgfAGuYAdPZ,201610,r13EdOxFc92,lbCDtnQRrh6,K0cWjvomIMf,1648,felix
zpJjBI4BewR,201610,r13EdOxFc92,p8KHSw07YH1,K0cWjvomIMf,1,felix
zpJjBI4BewR,201610,r13EdOxFc92,lbCDtnQRrh6,K0cWjvomIMf,43,felix
uAlw1jSa1Az,201610,r13EdOxFc92,cJKLG2tjEmO,K0cWjvomIMf,2,felix
uAlw1jSa1Az,201610,r13EdOxFc92,g7Lh5zbS2En,K0cWjvomIMf,55,felix
tArf2JT2OGN,201610,r13EdOxFc92,cJKLG2tjEmO,K0cWjvomIMf,22,felix
tArf2JT2OGN,201610,r13EdOxFc92,g7Lh5zbS2En,K0cWjvomIMf,330,felix
lgfAGuYAdPZ,201610,RVQtRwy75Wt,p8KHSw07YH1,K0cWjvomIMf,119,felix
lgfAGuYAdPZ,201610,RVQtRwy75Wt,lbCDtnQRrh6,K0cWjvomIMf,1243,felix
zpJjBI4BewR,201610,RVQtRwy75Wt,p8KHSw07YH1,K0cWjvomIMf,1,felix
zpJjBI4BewR,201610,RVQtRwy75Wt,lbCDtnQRrh6,K0cWjvomIMf,46,felix
uAlw1jSa1Az,201610,RVQtRwy75Wt,cJKLG2tjEmO,K0cWjvomIMf,2,felix
uAlw1jSa1Az,201610,RVQtRwy75Wt,g7Lh5zbS2En,K0cWjvomIMf,60,felix
tArf2JT2OGN,201610,RVQtRwy75Wt,cJKLG2tjEmO,K0cWjvomIMf,14,felix
tArf2JT2OGN,201610,RVQtRwy75Wt,g7Lh5zbS2En,K0cWjvomIMf,182,felix
lgfAGuYAdPZ,201610,fqT44AXXEda,p8KHSw07YH1,IpcHlwXHAL4,79,felix
lgfAGuYAdPZ,201610,fqT44AXXEda,lbCDtnQRrh6,IpcHlwXHAL4,728,felix
zpJjBI4BewR,201610,fqT44AXXEda,p8KHSw07YH1,IpcHlwXHAL4,1,felix
zpJjBI4BewR,201610,fqT44AXXEda,lbCDtnQRrh6,IpcHlwXHAL4,39,felix
uAlw1jSa1Az,201610,fqT44AXXEda,cJKLG2tjEmO,IpcHlwXHAL4,3,felix
uAlw1jSa1Az,201610,fqT44AXXEda,g7Lh5zbS2En,IpcHlwXHAL4,51,felix
tArf2JT2OGN,201610,fqT44AXXEda,cJKLG2tjEmO,IpcHlwXHAL4,3,felix
tArf2JT2OGN,201610,fqT44AXXEda,g7Lh5zbS2En,IpcHlwXHAL4,79,felix
lgfAGuYAdPZ,201610,I4AiM5QGOvq,p8KHSw07YH1,H3XczdtGIO5,8,felix
lgfAGuYAdPZ,201610,I4AiM5QGOvq,lbCDtnQRrh6,H3XczdtGIO5,43,felix
uAlw1jSa1Az,201610,I4AiM5QGOvq,cJKLG2tjEmO,H3XczdtGIO5,1,felix
uAlw1jSa1Az,201610,I4AiM5QGOvq,g7Lh5zbS2En,H3XczdtGIO5,4,felix
tArf2JT2OGN,201610,I4AiM5QGOvq,cJKLG2tjEmO,H3XczdtGIO5,3,felix
tArf2JT2OGN,201610,I4AiM5QGOvq,g7Lh5zbS2En,H3XczdtGIO5,17,felix
lgfAGuYAdPZ,201610,fS76SN2mDYs,p8KHSw07YH1,H3XczdtGIO5,14,felix
lgfAGuYAdPZ,201610,fS76SN2mDYs,lbCDtnQRrh6,H3XczdtGIO5,23,felix
zpJjBI4BewR,201610,fS76SN2mDYs,lbCDtnQRrh6,H3XczdtGIO5,1,felix
uAlw1jSa1Az,201610,fS76SN2mDYs,g7Lh5zbS2En,H3XczdtGIO5,4,felix
tArf2JT2OGN,201610,fS76SN2mDYs,cJKLG2tjEmO,H3XczdtGIO5,7,felix
tArf2JT2OGN,201610,fS76SN2mDYs,g7Lh5zbS2En,H3XczdtGIO5,39,felix
lgfAGuYAdPZ,201610,OjfMUlTYbK1,p8KHSw07YH1,H3XczdtGIO5,1,felix
lgfAGuYAdPZ,201610,OjfMUlTYbK1,lbCDtnQRrh6,H3XczdtGIO5,5,felix
tArf2JT2OGN,201610,OjfMUlTYbK1,cJKLG2tjEmO,H3XczdtGIO5,1,felix
tArf2JT2OGN,201610,OjfMUlTYbK1,g7Lh5zbS2En,H3XczdtGIO5,3,felix
lgfAGuYAdPZ,201610,xffm6sXHd1I,p8KHSw07YH1,H3XczdtGIO5,1,felix
lgfAGuYAdPZ,201610,xffm6sXHd1I,lbCDtnQRrh6,H3XczdtGIO5,5,felix
lgfAGuYAdPZ,201610,wpzFaD5rUsJ,p8KHSw07YH1,H3XczdtGIO5,8,felix
lgfAGuYAdPZ,201610,wpzFaD5rUsJ,lbCDtnQRrh6,H3XczdtGIO5,50,felix
zpJjBI4BewR,201610,wpzFaD5rUsJ,lbCDtnQRrh6,H3XczdtGIO5,2,felix
lgfAGuYAdPZ,201610,N77UkGoiY0M,p8KHSw07YH1,H3XczdtGIO5,5,felix
lgfAGuYAdPZ,201610,N77UkGoiY0M,lbCDtnQRrh6,H3XczdtGIO5,35,felix
tArf2JT2OGN,201610,N77UkGoiY0M,cJKLG2tjEmO,H3XczdtGIO5,1,felix
tArf2JT2OGN,201610,N77UkGoiY0M,g7Lh5zbS2En,H3XczdtGIO5,9,felix
lgfAGuYAdPZ,201610,SFjHKmBnUQl,p8KHSw07YH1,H3XczdtGIO5,9,felix
lgfAGuYAdPZ,201610,SFjHKmBnUQl,lbCDtnQRrh6,H3XczdtGIO5,134,felix
lgfAGuYAdPZ,201610,QSBdWpfSrPb,p8KHSw07YH1,H3XczdtGIO5,8,felix
lgfAGuYAdPZ,201610,QSBdWpfSrPb,lbCDtnQRrh6,H3XczdtGIO5,47,felix
uAlw1jSa1Az,201610,QSBdWpfSrPb,g7Lh5zbS2En,H3XczdtGIO5,1,felix
tArf2JT2OGN,201610,QSBdWpfSrPb,cJKLG2tjEmO,H3XczdtGIO5,1,felix
tArf2JT2OGN,201610,QSBdWpfSrPb,g7Lh5zbS2En,H3XczdtGIO5,6,felix
uAlw1jSa1Az,201610,wOcT7C4Gqzh,g7Lh5zbS2En,JqXGWrK1gp9,1,felix
tArf2JT2OGN,201610,wOcT7C4Gqzh,g7Lh5zbS2En,JqXGWrK1gp9,3,felix
lgfAGuYAdPZ,201610,WrZYJH3y1Fh,p8KHSw07YH1,H3XczdtGIO5,12,felix
lgfAGuYAdPZ,201610,WrZYJH3y1Fh,lbCDtnQRrh6,H3XczdtGIO5,73,felix
zpJjBI4BewR,201610,WrZYJH3y1Fh,p8KHSw07YH1,H3XczdtGIO5,1,felix
zpJjBI4BewR,201610,WrZYJH3y1Fh,lbCDtnQRrh6,H3XczdtGIO5,3,felix
uAlw1jSa1Az,201610,WrZYJH3y1Fh,g7Lh5zbS2En,H3XczdtGIO5,5,felix
tArf2JT2OGN,201610,WrZYJH3y1Fh,cJKLG2tjEmO,H3XczdtGIO5,15,felix
tArf2JT2OGN,201610,WrZYJH3y1Fh,g7Lh5zbS2En,H3XczdtGIO5,88,felix
lgfAGuYAdPZ,201610,dUO3G9O89X7,p8KHSw07YH1,H3XczdtGIO5,4,felix
lgfAGuYAdPZ,201610,dUO3G9O89X7,lbCDtnQRrh6,H3XczdtGIO5,26,felix
zpJjBI4BewR,201610,dUO3G9O89X7,lbCDtnQRrh6,H3XczdtGIO5,1,felix
uAlw1jSa1Az,201610,dUO3G9O89X7,g7Lh5zbS2En,H3XczdtGIO5,3,felix
tArf2JT2OGN,201610,dUO3G9O89X7,cJKLG2tjEmO,H3XczdtGIO5,2,felix
tArf2JT2OGN,201610,dUO3G9O89X7,g7Lh5zbS2En,H3XczdtGIO5,9,felix
lgfAGuYAdPZ,201610,KKndGuWgx1c,p8KHSw07YH1,H3XczdtGIO5,19,felix
lgfAGuYAdPZ,201610,KKndGuWgx1c,lbCDtnQRrh6,H3XczdtGIO5,115,felix
zpJjBI4BewR,201610,KKndGuWgx1c,lbCDtnQRrh6,H3XczdtGIO5,1,felix
uAlw1jSa1Az,201610,KKndGuWgx1c,g7Lh5zbS2En,H3XczdtGIO5,2,felix
tArf2JT2OGN,201610,KKndGuWgx1c,cJKLG2tjEmO,H3XczdtGIO5,4,felix
tArf2JT2OGN,201610,KKndGuWgx1c,g7Lh5zbS2En,H3XczdtGIO5,25,felix
lgfAGuYAdPZ,201610,JWSHmk8XVoB,p8KHSw07YH1,H3XczdtGIO5,29,felix
lgfAGuYAdPZ,201610,JWSHmk8XVoB,lbCDtnQRrh6,H3XczdtGIO5,172,felix
zpJjBI4BewR,201610,JWSHmk8XVoB,lbCDtnQRrh6,H3XczdtGIO5,2,felix
uAlw1jSa1Az,201610,JWSHmk8XVoB,g7Lh5zbS2En,H3XczdtGIO5,5,felix
tArf2JT2OGN,201610,JWSHmk8XVoB,cJKLG2tjEmO,H3XczdtGIO5,3,felix
tArf2JT2OGN,201610,JWSHmk8XVoB,g7Lh5zbS2En,H3XczdtGIO5,16,felix
lgfAGuYAdPZ,201610,suwoJuHlA2b,p8KHSw07YH1,H3XczdtGIO5,29,felix
lgfAGuYAdPZ,201610,suwoJuHlA2b,lbCDtnQRrh6,H3XczdtGIO5,172,felix
zpJjBI4BewR,201610,suwoJuHlA2b,lbCDtnQRrh6,H3XczdtGIO5,3,felix
uAlw1jSa1Az,201610,suwoJuHlA2b,g7Lh5zbS2En,H3XczdtGIO5,5,felix
tArf2JT2OGN,201610,suwoJuHlA2b,cJKLG2tjEmO,H3XczdtGIO5,3,felix
tArf2JT2OGN,201610,suwoJuHlA2b,g7Lh5zbS2En,H3XczdtGIO5,17,felix
lgfAGuYAdPZ,201610,HdbugkfTIcQ,p8KHSw07YH1,JqXGWrK1gp9,24,felix
lgfAGuYAdPZ,201610,HdbugkfTIcQ,lbCDtnQRrh6,JqXGWrK1gp9,45,felix
zpJjBI4BewR,201610,HdbugkfTIcQ,lbCDtnQRrh6,JqXGWrK1gp9,2,felix
uAlw1jSa1Az,201610,HdbugkfTIcQ,g7Lh5zbS2En,JqXGWrK1gp9,1,felix
tArf2JT2OGN,201610,HdbugkfTIcQ,cJKLG2tjEmO,JqXGWrK1gp9,1,felix
tArf2JT2OGN,201610,HdbugkfTIcQ,g7Lh5zbS2En,JqXGWrK1gp9,9,felix
lgfAGuYAdPZ,201610,zTKETkHsEA2,p8KHSw07YH1,H3XczdtGIO5,3,felix
lgfAGuYAdPZ,201610,zTKETkHsEA2,lbCDtnQRrh6,H3XczdtGIO5,50,felix
lgfAGuYAdPZ,201610,oIIfRe93pdC,p8KHSw07YH1,H3XczdtGIO5,22,felix
lgfAGuYAdPZ,201610,oIIfRe93pdC,lbCDtnQRrh6,H3XczdtGIO5,332,felix
uAlw1jSa1Az,201610,oIIfRe93pdC,g7Lh5zbS2En,H3XczdtGIO5,3,felix
tArf2JT2OGN,201610,oIIfRe93pdC,cJKLG2tjEmO,H3XczdtGIO5,2,felix
tArf2JT2OGN,201610,oIIfRe93pdC,g7Lh5zbS2En,H3XczdtGIO5,10,felix
lgfAGuYAdPZ,201610,xPIE2QUchap,p8KHSw07YH1,H3XczdtGIO5,6,felix
lgfAGuYAdPZ,201610,xPIE2QUchap,lbCDtnQRrh6,H3XczdtGIO5,36,felix
uAlw1jSa1Az,201610,xPIE2QUchap,g7Lh5zbS2En,H3XczdtGIO5,1,felix
tArf2JT2OGN,201610,xPIE2QUchap,cJKLG2tjEmO,H3XczdtGIO5,1,felix
tArf2JT2OGN,201610,xPIE2QUchap,g7Lh5zbS2En,H3XczdtGIO5,9,felix
lgfAGuYAdPZ,201610,We6UKrOBqml,p8KHSw07YH1,H3XczdtGIO5,16,felix
lgfAGuYAdPZ,201610,We6UKrOBqml,lbCDtnQRrh6,H3XczdtGIO5,246,felix
zpJjBI4BewR,201610,We6UKrOBqml,lbCDtnQRrh6,H3XczdtGIO5,4,felix
lgfAGuYAdPZ,201610,uY5qqY2nhPt,p8KHSw07YH1,H3XczdtGIO5,11,felix
lgfAGuYAdPZ,201610,uY5qqY2nhPt,lbCDtnQRrh6,H3XczdtGIO5,174,felix
lgfAGuYAdPZ,201610,M6ezq834QYH,p8KHSw07YH1,H3XczdtGIO5,9,felix
lgfAGuYAdPZ,201610,M6ezq834QYH,lbCDtnQRrh6,H3XczdtGIO5,52,felix
lgfAGuYAdPZ,201610,zYY0B4vnqpE,p8KHSw07YH1,H3XczdtGIO5,3,felix
lgfAGuYAdPZ,201610,zYY0B4vnqpE,lbCDtnQRrh6,H3XczdtGIO5,17,felix
