dataelementid,dataelement,period,facility,mflcode,categoryoptioncombo,attributeoptioncombo,value
KLX9jAmEUvw,CT_: New on Treatment 50 + Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,2
dMXQytl6smz,CT_: Current on Treatment 1 - 9 Years,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,25
w6WWy2A7RUk,CT_: Current on Treatment 10-14 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,6
RjApqOcDTwT,CT_: Current on Treatment 10-14 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,19
fFNmm0oP0ek,CT_: Current on Treatment 15-19 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,4
MkTG1QOLLcC,CT_: Current on Treatment 15-19 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,4
VRnM69jCvDj,CT_: Current on Treatment 20-24 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,20
VsZdsSj87oU,CT_: Current on Treatment 20-24 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,57
zj9bYSJ4gs9,CT_: Current on Treatment 25-29 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,7
HZy39srIX9A,CT_: Current on Treatment 25-29 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,27
qKs4rxcBeMN,CT_: Current on Treatment 30-34 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,7
sb0tiptWRok,CT_: Current on Treatment 30-34 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,10
lqWuuZfUOnP,CT_: Current on Treatment 35-39 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,12
aDaPydSh2gv,CT_: Current on Treatment 35-39 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,13
CrCBPYt9i4n,CT_: Current on Treatment 40-49 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,8
HjrjlsRzZK4,CT_: Current on Treatment 40-49 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,22
k7fA3OJUTkw,CT_: Current on Treatment 50 + Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,17
KqSJpHTD0DU,CT_: Current on Treatment 50 + Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,25
LK2HDDAeD4T,CT_: Net Cohort Starting ART 12 months 30-34 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,2
zcqGwYmAuBB,CT_: Net Cohort Starting ART 12 months 35-39 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
c2KBaPucFpF,CT_: Net Cohort Starting ART 12 months 40-49 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
jHXgaxsGLEL,CT_: Net Cohort Starting ART 12 months 40-49 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
RjtR7eD45H1,CT_: Number on ART 12 months 30-34 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,2
RdLoy5cHh4e,CT_: Number on ART 12 months 35-39 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
xjp4sO7zPWQ,CT_: Number on ART 12 months 40-49 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
QNViR2sPs69,CT_: Eligible for Viral Load 15-19 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
kFXEqn4Nh2F,CT_: Eligible for Viral Load 25-29 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
R1chfCFmd5F,CT_: Eligible for Viral Load 25-29 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,3
YizsMxXaMJQ,CT_: Eligible for Viral Load 30-34 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
BWU1QcT9eFu,CT_: Eligible for Viral Load 35-39 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,3
aJaqKdZsUe4,CT_: Eligible for Viral Load 40-49 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,2
cffqyuJSQLK,CT_: Eligible for Viral Load 40-49 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,2
bIMomPVPlUX,CT_: Eligible for Viral Load 50 + Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
kTyVFaM2pcG,CT_: Viral Load Samples Collected 15-19 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
